sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,cuenta,tipo,frecuencia
4233,M,19,SOLTERO,2,4,1,1,1,9.1,1567,1.0,1.0,2.0,3.0,202207068,Física,1.0
4233,M,19,SOLTERO,2,4,1,1,1,9.1,1567,1.0,1.0,2.0,3.0,202207068,Física,1.0
4233,M,19,SOLTERO,2,4,1,1,1,9.1,1567,1.0,1.0,2.0,3.0,202207068,Física,1.0
4234,F,19,SOLTERO,2,4,1,1,21,9.7,1564,1.0,1.0,3.0,1.0,202207023,Verbal,1.0
4234,F,19,SOLTERO,2,4,1,1,21,9.7,1564,1.0,1.0,3.0,1.0,202207023,Verbal,1.0
4234,F,19,SOLTERO,2,4,1,1,21,9.7,1564,1.0,1.0,3.0,1.0,202207023,Verbal,1.0
4234,F,19,SOLTERO,2,4,1,1,21,9.7,1564,1.0,1.0,3.0,1.0,202207023,Verbal,1.0
4236,M,21,SOLTERO,2,4,1,1,100,7.9,1551,1.0,1.0,1.0,1.0,202207052,Psicológica,1.0
4236,M,21,SOLTERO,2,4,1,1,100,7.9,1551,1.0,1.0,1.0,1.0,202207052,Psicológica,1.0
4236,M,21,SOLTERO,2,4,1,1,100,7.9,1551,1.0,1.0,1.0,1.0,202207052,Psicológica,1.0
4239,M,19,SOLTERO,2,4,1,1,130,8.6,1559,1.0,1.0,3.0,1.0,202207045,Verbal,1.0
4239,M,19,SOLTERO,2,4,1,1,130,8.6,1559,1.0,1.0,3.0,1.0,202207045,Verbal,1.0
4239,M,19,SOLTERO,2,4,1,1,130,8.6,1559,1.0,1.0,3.0,1.0,202207045,Verbal,1.0
4239,M,19,SOLTERO,2,4,1,1,130,8.6,1559,1.0,1.0,3.0,1.0,202207045,Verbal,1.0
4240,M,19,SOLTERO,2,4,1,1,65,7.5,1554,1.0,1.0,2.0,1.0,202207026,Verbal,1.0
4240,M,19,SOLTERO,2,4,1,1,65,7.5,1554,1.0,1.0,2.0,1.0,202207026,Verbal,1.0
4240,M,19,SOLTERO,2,4,1,1,65,7.5,1554,1.0,1.0,2.0,1.0,202207026,Verbal,1.0
4241,F,19,SOLTERO,2,4,1,1,8,9.5,1570,1.0,2.0,1.0,1.0,202207069,Verbal,1.0
4241,F,19,SOLTERO,2,4,1,1,8,9.5,1570,1.0,2.0,1.0,1.0,202207069,Verbal,1.0
4241,F,19,SOLTERO,2,4,1,1,8,9.5,1570,1.0,2.0,1.0,1.0,202207069,Verbal,1.0
4241,F,19,SOLTERO,2,4,1,1,8,9.5,1570,1.0,2.0,1.0,1.0,202207069,Verbal,1.0
4246,F,20,SOLTERO,2,4,2,1,8,8.9,2068,1.0,1.0,1.0,1.0,202207048,Física,1.0
4246,F,20,SOLTERO,2,4,2,1,8,8.9,2068,1.0,1.0,1.0,1.0,202207048,Física,1.0
4246,F,20,SOLTERO,2,4,2,1,8,8.9,2068,1.0,1.0,1.0,1.0,202207048,Física,1.0
4246,F,20,SOLTERO,2,4,2,1,8,8.9,2068,1.0,1.0,1.0,1.0,202207048,Física,1.0
4248,M,19,UNION LIBRE,2,4,1,1,11,8.8,1558,1.0,1.0,1.0,1.0,202207050,Psicológica,1.0
4248,M,19,UNION LIBRE,2,4,1,1,11,8.8,1558,1.0,1.0,1.0,1.0,202207050,Psicológica,1.0
4248,M,19,UNION LIBRE,2,4,1,1,11,8.8,1558,1.0,1.0,1.0,1.0,202207050,Psicológica,1.0
4248,M,19,UNION LIBRE,2,4,1,1,11,8.8,1558,1.0,1.0,1.0,1.0,202207050,Psicológica,1.0
4254,M,21,SOLTERO,2,4,1,1,202,7.9,1703,1.0,1.0,1.0,1.0,202207030,"Verbal, Física, Psicológica, Sexual",4.0
4254,M,21,SOLTERO,2,4,1,1,202,7.9,1703,1.0,1.0,1.0,1.0,202207030,"Verbal, Física, Psicológica, Sexual",4.0
4254,M,21,SOLTERO,2,4,1,1,202,7.9,1703,1.0,1.0,1.0,1.0,202207030,"Verbal, Física, Psicológica, Sexual",4.0
4259,M,19,SOLTERO,2,4,1,1,130,8.4,1775,1.0,1.0,1.0,1.0,202207033,"Verbal, Sexual",2.0
4259,M,19,SOLTERO,2,4,1,1,130,8.4,1775,1.0,1.0,1.0,1.0,202207033,"Verbal, Sexual",2.0
4259,M,19,SOLTERO,2,4,1,1,130,8.4,1775,1.0,1.0,1.0,1.0,202207033,"Verbal, Sexual",2.0
4260,M,19,SOLTERO,2,4,1,1,150,7.2,1684,1.0,1.0,1.0,1.0,202207013,Verbal,1.0
4260,M,19,SOLTERO,2,4,1,1,150,7.2,1684,1.0,1.0,1.0,1.0,202207013,Verbal,1.0
4260,M,19,SOLTERO,2,4,1,1,150,7.2,1684,1.0,1.0,1.0,1.0,202207013,Verbal,1.0
4261,M,21,SOLTERO,2,4,1,1,1,7.6,1675,1.0,1.0,1.0,1.0,202207034,"Física, Psicológica, Sexual",3.0
4261,M,21,SOLTERO,2,4,1,1,1,7.6,1675,1.0,1.0,1.0,1.0,202207034,"Física, Psicológica, Sexual",3.0
4261,M,21,SOLTERO,2,4,1,1,1,7.6,1675,1.0,1.0,1.0,1.0,202207034,"Física, Psicológica, Sexual",3.0
4263,M,20,SOLTERO,2,4,1,1,2,7.1,1676,1.0,2.0,2.0,1.0,202207072,Verbal,1.0
4263,M,20,SOLTERO,2,4,1,1,2,7.1,1676,1.0,2.0,2.0,1.0,202207072,Verbal,1.0
4263,M,20,SOLTERO,2,4,1,1,2,7.1,1676,1.0,2.0,2.0,1.0,202207072,Verbal,1.0
4265,M,20,SOLTERO,2,4,1,1,1,8.1,1769,1.0,1.0,1.0,1.0,202207017,"Verbal, Sexual",2.0
4265,M,20,SOLTERO,2,4,1,1,1,8.1,1769,1.0,1.0,1.0,1.0,202207017,"Verbal, Sexual",2.0
4265,M,20,SOLTERO,2,4,1,1,1,8.1,1769,1.0,1.0,1.0,1.0,202207017,"Verbal, Sexual",2.0
